resultId,raceId,driverId,constructorId,grid,position,points,laps,time_x,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name_x,race_date,time_y,url_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,circuitRef,name_y,location,country,lat,lng,alt,url_y,team,GP_name,nationality,driverRef,code,driver_forename,driver_surname,driver_dob,nationality_driver,qualifyId,number_qualifying,position_qualifying,q1,q2,q3,driver_name,age_at_gp_in_days,constructor_clean,driver_nat,country_clean,driver_home,constructor_country,constructor_home,driver_dnf,constructor_dnf,age_years,abandoned
22912,956,786,192,7,7.0,6.0,55,+50.114,31.0,13.0,1:45.949,188.717,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,force_india,Force India,Indian,hulkenberg,HUL,Nico,Hülkenberg,1987-08-19,German,7105.0,27.0,7.0,1:41.000,1:40.709,1:40.501,Nico Hülkenberg,10693,force_india,Indian,UAE,0,,0,0,0,29,0
22913,956,794,192,8,8.0,4.0,55,+58.776,30.0,8.0,1:45.249,189.972,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,force_india,Force India,Indian,perez,PER,Sergio,Pérez,1990-01-26,Mexican,7106.0,11.0,8.0,1:40.864,1:40.743,1:40.519,Sergio Pérez,9802,force_india,Indian,UAE,0,,0,0,0,26,0
22914,956,749,137,10,9.0,2.0,55,+59.436,33.0,10.0,1:45.675,189.206,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,williams,Williams,British,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,7108.0,19.0,10.0,1:41.157,1:40.858,1:41.213,Felipe Massa,13000,williams,GBR,UAE,0,,0,0,1,35,0
22915,956,742,114,9,10.0,1.0,55,+59.896,50.0,2.0,1:44.495,191.343,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,mclaren,McLaren,British,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,7107.0,14.0,9.0,1:41.616,1:41.044,1:41.106,Fernando Alonso,12905,mclaren,GBR,UAE,0,,0,0,1,35,0
22916,956,784,201,14,11.0,0.0,55,+1:16.777,45.0,4.0,1:44.970,190.477,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,haas,Haas F1 Team,American,grosjean,GRO,Romain,Grosjean,1986-04-17,French,7112.0,8.0,14.0,1:41.467,1:41.564,,Romain Grosjean,11182,haas,USA,UAE,0,,0,0,0,30,0
22917,956,798,201,13,12.0,0.0,55,+1:35.113,45.0,12.0,1:45.928,188.754,1,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,haas,Haas F1 Team,American,gutierrez,GUT,Esteban,Gutiérrez,1991-08-05,Mexican,7111.0,21.0,13.0,1:41.639,1:41.480,,Esteban Gutiérrez,9246,haas,USA,UAE,0,,0,0,0,25,0
22918,956,817,200,20,13.0,0.0,54,,46.0,15.0,1:46.189,188.29,15,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,manor,Manor Marussia,British,ocon,OCO,Esteban,Ocon,1996-09-17,French,7118.0,31.0,20.0,1:42.286,,,Esteban Ocon,7376,manor,GBR,UAE,0,,0,1,1,20,0
22919,956,814,200,16,14.0,0.0,54,,26.0,14.0,1:46.145,188.368,15,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,manor,Manor Marussia,British,wehrlein,WEH,Pascal,Wehrlein,1994-10-18,German,7114.0,94.0,16.0,1:41.886,1:41.995,,Pascal Wehrlein,8076,manor,GBR,UAE,0,,0,1,1,22,0
22920,956,805,176,22,15.0,0.0,54,,40.0,16.0,1:46.216,188.242,15,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,sauber,Sauber,Swiss,ericsson,ERI,Marcus,Ericsson,1990-09-02,Swedish,7120.0,9.0,22.0,1:42.637,,,Marcus Ericsson,9583,sauber,Swiss,UAE,0,,0,1,1,26,0
22921,956,808,176,19,16.0,0.0,54,,44.0,17.0,1:46.287,188.117,15,2016,21,66,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix,,,,,,,,,,,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,sauber,Sauber,Swiss,nasr,NAS,Felipe,Nasr,1992-08-21,Brazilian,7117.0,12.0,19.0,1:42.247,,,Felipe Nasr,8864,sauber,Swiss,UAE,0,,0,1,1,24,0
